room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
15733264,101651750,Entire home/apt,,Micklegate Ward,0,,4,,127,,53.950572,-1.082446,12:30.6
14658277,56201933,Entire home/apt,,Guildhall Ward,20,5,4,,152,2,53.956687,-1.07904,26:43.9
9508339,49270499,Entire home/apt,,Holgate Ward,36,5,5,,158,3,53.961795,-1.10056,28:04.1
13918900,28771591,Entire home/apt,,Clifton Ward,5,4,2,,139,,53.968415,-1.089373,28:17.8
9769226,43246668,Entire home/apt,,Guildhall Ward,12,4.5,2,,134,2,53.962129,-1.083322,10:38.4
15780080,19722240,Entire home/apt,,Guildhall Ward,0,,4,,146,3,53.962905,-1.085436,11:19.3
6565914,34344708,Entire home/apt,,Guildhall Ward,77,5,6,,222,,53.961899,-1.088065,13:04.1
15833827,97488432,Entire home/apt,,Clifton Ward,0,,2,,76,2,53.965549,-1.08946,19:15.4
13303147,808972,Entire home/apt,,Guildhall Ward,12,5,6,,204,2,53.962773,-1.084747,11:47.7
4026397,20876094,Entire home/apt,,Guildhall Ward,0,,3,,188,,53.962056,-1.081672,21:51.3
12669523,43256484,Entire home/apt,,Guildhall Ward,1,,2,,126,3,53.964276,-1.076818,02:30.5
8716882,25542331,Entire home/apt,,Guildhall Ward,74,5,3,,96,,53.96231,-1.09006,30:12.5
3389866,17100267,Entire home/apt,,Guildhall Ward,34,5,8,,293,,53.961712,-1.084693,06:51.1
5710788,26477896,Entire home/apt,,Strensall Ward,66,5,4,,90,2,54.00354,-1.014007,12:41.7
6637665,34741576,Entire home/apt,,Osbaldwick & Derwent Ward,37,4.5,2,,50,,53.982435,-0.978426,23:07.2
15139452,96004946,Entire home/apt,,Strensall Ward,0,,6,,140,3,54.008633,-1.052115,56:33.1
13420325,70221369,Entire home/apt,,Osbaldwick & Derwent Ward,0,,2,,70,,53.979845,-0.970536,21:14.0
7485120,34741576,Entire home/apt,,Osbaldwick & Derwent Ward,25,4.5,2,,50,,53.981014,-0.978707,21:47.8
6623898,12178334,Entire home/apt,,Strensall Ward,17,4.5,10,,191,1,53.997674,-0.997191,01:20.7
5897451,12178334,Entire home/apt,,Strensall Ward,30,4,5,,121,1,53.998643,-0.999354,55:58.2
2590176,12178334,Entire home/apt,,Strensall Ward,8,4,12,,159,1,53.995386,-0.996822,15:01.5
13408141,26477896,Entire home/apt,,Strensall Ward,30,5,4,,128,2,54.002027,-1.014834,54:29.8
6034529,26477896,Entire home/apt,,Strensall Ward,88,4.5,2,,64,2,54.002839,-1.015125,58:50.7
5379896,26477896,Entire home/apt,,Strensall Ward,42,4.5,8,,128,2,54.003157,-1.014314,03:16.7
5131710,26477896,Entire home/apt,,Strensall Ward,98,4.5,4,,90,2,54.002921,-1.01483,02:13.2
10851611,26477896,Entire home/apt,,Strensall Ward,35,5,4,,90,2,54.001393,-1.013867,56:08.3
14641883,90900870,Entire home/apt,,Huntington & New Earswick Ward,15,5,3,,96,,53.993129,-1.054513,23:14.6
14582905,43246668,Entire home/apt,,Guildhall Ward,1,,2,,134,2,53.96076,-1.073103,58:06.7
10873071,43256484,Entire home/apt,,Guildhall Ward,0,,2,,127,4,53.959475,-1.077658,20:21.5
14436521,43246668,Entire home/apt,,Guildhall Ward,3,4.5,2,,108,,53.961288,-1.071123,25:16.4
3975219,20602240,Entire home/apt,,Guildhall Ward,23,5,6,,204,3,53.962025,-1.074599,53:36.3
8437862,43256484,Entire home/apt,,Guildhall Ward,7,4.5,2,,108,4,53.964118,-1.076783,22:18.4
14194208,43246668,Entire home/apt,,Guildhall Ward,2,,2,,146,,53.959931,-1.072682,59:48.0
15837476,28107849,Entire home/apt,,Guildhall Ward,0,,8,,344,2,53.962241,-1.074981,12:44.8
14667148,25542331,Entire home/apt,,Guildhall Ward,0,,4,,152,,53.962038,-1.077514,07:05.1
12384373,66944693,Entire home/apt,,Guildhall Ward,34,5,6,,128,,53.9655,-1.076058,16:20.6
4891958,20621740,Entire home/apt,,Guildhall Ward,4,5,8,,102,,53.968778,-1.073147,54:48.0
15816363,102375789,Entire home/apt,,Heworth Ward,0,,2,,125,2,53.965988,-1.072833,13:10.0
14090415,56091889,Entire home/apt,,Guildhall Ward,23,5,2,,95,1,53.961894,-1.072537,07:58.2
6618303,33482043,Entire home/apt,,Heworth Ward,17,4.5,6,,152,1,53.964787,-1.049075,25:08.9
6948008,36052612,Entire home/apt,,Guildhall Ward,6,5,4,,112,5,53.957093,-1.073285,08:40.6
